OH                 1    80.000     2.750     0.000     0.000     0.000
HCCO               2   150.000     2.500     0.000     0.000     1.000
O                  0    80.000     2.750     0.000     0.000     0.000
C2H2               1   209.000     4.100     0.000     0.000     2.500
C2H3               2   209.000     4.100     0.000     0.000     1.000
CO                 1    98.100     3.650     0.000     1.950     1.800
H2O2               2   107.400     3.458     0.000     0.000     3.800
O2                 1   107.400     3.458     0.000     1.600     3.800
CH2O               2   498.000     3.590     0.000     0.000     2.000
CH3                1   144.000     3.800     0.000     0.000     0.000
H2                 1    38.000     2.920     0.000     0.790   280.000
H2O                2   572.400     2.605     1.844     0.000     4.000
CH2                1   144.000     3.800     0.000     0.000     0.000
CH3O               2   417.000     3.690     1.700     0.000     2.000
H                  0   145.000     2.050     0.000     0.000     0.000
CH4                2   141.400     3.746     0.000     2.600    13.000
C2H4               2   280.800     3.971     0.000     0.000     1.500
CO2                1   244.000     3.763     0.000     2.650     2.100
HO2                2   107.400     3.458     0.000     0.000     1.000
CH3OH              2   481.800     3.626     0.000     0.000     1.000
